Year,Population_Total,Population_Natives,Population_Immigrants,House_Hold,Marriages,Divorces,Births,Dead,Arrival,Going-away,Unemployment
1941,130688,126463,4225,38208,1431,170,1631,1290,12321,9391,168
1942,132405,128265,4140,39018,1433,173,1700,1291,12420,9751,169
1943,134123,130068,4055,39828,1434,176,1769,1293,12520,10112,170
1944,135841,131870,3970,40639,1436,178,1838,1294,12619,10472,171
1945,137559,133673,3886,41449,1438,181,1907,1296,12719,10833,172
1946,139370,134869,4500,42259,1439,184,1976,1297,12818,11193,176
1947,141181,136065,5115,43070,1441,186,2045,1298,12917,11553,181
1948,142992,137261,5730,43880,1442,189,2114,1300,13017,11914,186
1949,144803,138457,6345,44690,1444,192,2183,1301,13116,12274,191
1950,146614,139654,6960,45501,1446,195,2252,1303,13216,12635,196
1951,148075,140671,7403,46421,1454,197,2248,1321,13863,13245,174
1952,149536,141689,7847,47341,1462,200,2245,1339,14511,13856,153
1953,150997,142706,8290,48261,1470,203,2241,1357,15158,14467,132
1954,152458,143724,8734,49182,1479,206,2238,1375,15806,15077,111
1955,153920,144742,9178,50102,1487,209,2234,1393,16453,15688,90
1956,155391,145634,9757,51022,1495,212,2231,1411,17101,16299,79
1957,156862,146526,10336,51943,1504,215,2227,1429,17748,16909,68
1958,158333,147418,10915,52863,1512,218,2224,1447,18396,17520,58
1959,159804,148310,11494,53783,1520,221,2220,1465,19043,18131,47
1960,161275,149202,12073,54704,1529,224,2217,1484,19691,18742,37
1961,161636,148345,13291,55485,1524,223,2180,1500,19515,18789,30
1962,161998,147488,14510,56267,1519,223,2144,1516,19340,18836,24
1963,162360,146631,15728,57049,1515,223,2107,1532,19164,18883,17
1964,162722,145774,16947,57831,1510,223,2071,1549,18989,18931,11
1965,163084,144918,18166,58613,1506,223,2034,1565,18814,18978,5
1966,162521,144153,18367,59394,1501,222,1998,1581,18638,19025,4
1967,161958,143389,18569,60176,1496,222,1961,1598,18463,19073,3
1968,161396,142624,18771,60958,1492,222,1925,1614,18287,19120,3
1969,160833,141860,18973,61740,1487,222,1888,1630,18112,19167,2
1970,160271,141096,19175,62522,1483,222,1852,1647,17937,19215,2
1971,158856,139312,19544,63253,1417,229,1787,1641,17610,18837,49
1972,157442,137528,19913,63984,1352,237,1722,1635,17283,18460,97
1973,156027,135744,20283,64716,1287,244,1657,1629,16956,18083,144
1974,154613,133960,20652,65447,1222,252,1592,1624,16629,17706,192
1975,153199,132177,21022,66179,1157,260,1527,1618,16302,17329,240
1976,151486,131047,20439,66910,1092,267,1462,1612,15975,16952,219
1977,149774,129917,19856,67641,1027,275,1397,1607,15648,16575,198
1978,148061,128788,19273,68373,962,282,1332,1601,15321,16198,178
1979,146349,127658,18690,69104,897,290,1267,1595,14994,15821,157
